Starting Location,Ending Location,Distance
Columbus,Plattsmouth,82.29228620287955
Columbus,Des Moines,194.00867274413991
Columbus,Iowa City,302.34808494668704
Columbus,Cedar Rapids,296.83517323136556
Columbus,Davenport,351.94742768557046
Columbus,Sioux City,88.48742810915131
Columbus,Waterloo,870.6103773413402
Columbus,Ankeny,195.88911661984767
Columbus,Ames,197.09154689929125
Columbus,Council Bluffs,78.79496968176046
Columbus,Dubuque,352.4737989032253
Columbus,Urbandale,187.11377769952995
Columbus,Sioux Falls,149.5155039445218
Columbus,Pierre,253.30167769993264
Columbus,Rapid City,350.1130614718583
Columbus,Deadwood,381.75035225519406
Columbus,Aberdeen,284.2181914610478
Columbus,Brookings,200.90523419621513
Columbus,Watertown,239.7959643200047
Columbus,Yankton,99.46242962077038
Columbus,Wichita,258.2356244245229
Columbus,Overland Park,220.79110804263877
Columbus,Olathe,221.36683472576172
Columbus,Topeka,186.9767169662886
Columbus,Lawrence,203.46350757165698
Columbus,Shawnee,217.1102409189433
Columbus,Lenexa,220.21253590120318
Columbus,Manhattan,160.50131184973878
Columbus,Salina,179.19531922206656
Columbus,Dodge City,290.63391016941995
Columbus,Kansas City,217.830621931152
Columbus,St Louis,425.9788691385798
Columbus,Springfield,363.6266464845986
Columbus,Columbia,316.0652376967005
Columbus,Independence,224.1678253607022
Columbus,St Joseph,174.99677991198672
Columbus,St Peters,400.2681469463531
Columbus,Blue Springs,232.82381336017895
Columbus,Joplin,336.38238432615634
Columbus,Jefferson City,338.2350054540019
Columbus,Wildwood,405.8173296843975
Columbus,Ozark,376.971332657184
Bellevue,Omaha,7.298565633065424
Bellevue,Lincoln,47.205132226877836
Bellevue,Grand Island,127.61035419051414
Bellevue,Kearney,168.5017112438897
Bellevue,Columbus,77.46473361180892
Bellevue,Papillion,6.538687648720065
Bellevue,Plattsmouth,9.878260720907232
Bellevue,Des Moines,122.91228037536273
Bellevue,Iowa City,230.37597203273648
Bellevue,Cedar Rapids,227.62021559065357
Bellevue,Davenport,278.88611556817784
Bellevue,Sioux City,96.15902417061046
Bellevue,Waterloo,803.5855317571337
Bellevue,Ankeny,126.83287343485452
Bellevue,Ames,133.0613438090553
Bellevue,Council Bluffs,8.17526888269193
Bellevue,Dubuque,286.6153413928388
Bellevue,Urbandale,116.8451058010517
Bellevue,Sioux Falls,170.4390725427811
Bellevue,Pierre,316.4058431972293
Bellevue,Rapid City,423.90221788657965
Bellevue,Deadwood,455.15066040352195
Bellevue,Aberdeen,324.65166796103625
Bellevue,Brookings,222.66962358233658
Bellevue,Watertown,265.7215278867212
Bellevue,Yankton,141.01091083011255
Bellevue,Wichita,250.64496058398097
Bellevue,Overland Park,163.61004035806388
Bellevue,Olathe,167.11024479907312
Bellevue,Topeka,145.74637780223907
Bellevue,Lawrence,154.68237579170045
Bellevue,Shawnee,160.09343764875456
Bellevue,Lenexa,164.12033158504616
Bellevue,Manhattan,140.1188196346115
Bellevue,Salina,183.03232144775933
Bellevue,Dodge City,320.9255819049091
Bellevue,Kansas City,158.33167860972387
Bellevue,St Louis,350.1700346865621
Bellevue,Springfield,306.287167727659
Bellevue,Columbia,243.14458140891966
Bellevue,Independence,162.90332471127266
Bellevue,St Joseph,110.92738967641735
Bellevue,St Peters,324.5575355529413
Bellevue,Blue Springs,170.88994318454309
Bellevue,Joplin,290.53584277640573
Bellevue,Jefferson City,266.7524323332667
Bellevue,Wildwood,330.7406603678926
Bellevue,Ozark,320.0245563452672
Papillion,Omaha,9.028845914940465
Papillion,Lincoln,41.74966972890802
Papillion,Grand Island,121.13955672296632
Papillion,Kearney,162.09923689627354
Papillion,Columbus,71.1088479034163
Papillion,Bellevue,6.538687648720065
Papillion,Plattsmouth,13.024860086894472
Papillion,Des Moines,129.18704667520703
Papillion,Iowa City,236.7751257433843
Papillion,Cedar Rapids,233.85548669533063
Papillion,Davenport,285.34789784118067
Papillion,Sioux City,94.47050348235861
Papillion,Waterloo,809.7915266665075
Papillion,Ankeny,132.9569181199006
Papillion,Ames,138.77656608891732
Papillion,Council Bluffs,12.045303013812271
Papillion,Dubuque,292.66139641658896
Papillion,Urbandale,123.04733814139522
Papillion,Sioux Falls,168.78384135804865
Papillion,Pierre,311.7482094547182
Papillion,Rapid City,418.1984930580925
Papillion,Deadwood,449.50107292093793
Papillion,Aberdeen,321.99626328159343
Papillion,Brookings,221.2714474757698
Papillion,Watertown,264.14439298821935
Papillion,Yankton,137.45648506872382
Papillion,Wichita,248.905955554414
Papillion,Overland Park,166.58875118368502
Papillion,Olathe,169.7325026106799
Papillion,Topeka,146.68587358149327
Papillion,Lawrence,156.56755591629422
Papillion,Shawnee,163.03546665174534
Papillion,Lenexa,166.96120695534972
Papillion,Manhattan,138.8324368147484
Papillion,Salina,180.04496149749028
Papillion,Dodge City,316.5410820940098
Papillion,Kansas City,161.59311541853083
Papillion,St Louis,356.0533457650837
Papillion,Springfield,309.6171140376375
Papillion,Columbia,248.4904841132322
Papillion,Independence,166.4206313815628
Papillion,St Joseph,114.60047617794197
Papillion,St Peters,330.4178760395354
Papillion,Blue Springs,174.5254283184307
Papillion,Joplin,292.5530214216867
Papillion,Jefferson City,271.8877710077961
Papillion,Wildwood,336.48373051491365
Papillion,Ozark,323.32538631805284
Plattsmouth,Omaha,17.164591248045646
Plattsmouth,Lincoln,45.12677147130959
Plattsmouth,Grand Island,128.85859875060189
Plattsmouth,Kearney,169.0706909737512
Plattsmouth,Columbus,82.29228620287955
Plattsmouth,Bellevue,9.878260720907232
Plattsmouth,Papillion,13.024860086894472
Plattsmouth,Des Moines,123.93240410541331
Plattsmouth,Iowa City,230.39933338101164
Plattsmouth,Cedar Rapids,228.6334970344026
Plattsmouth,Davenport,278.33383688806185
Plattsmouth,Sioux City,106.01820062337276
Plattsmouth,Waterloo,804.559492378455
Plattsmouth,Ankeny,128.56504113345432
Plattsmouth,Ames,136.2170420083401
Plattsmouth,Council Bluffs,17.338465472514972
Plattsmouth,Dubuque,288.412574816605
Plattsmouth,Urbandale,118.26011332454395
Plattsmouth,Sioux Falls,180.30761925973474
Plattsmouth,Pierre,324.7600007963187
Plattsmouth,Rapid City,430.5960390190598
Plattsmouth,Deadwood,461.96083650688047
Plattsmouth,Aberdeen,334.3416406257584
Plattsmouth,Brookings,232.54788009995795
Plattsmouth,Watertown,275.59640903725096
Plattsmouth,Yankton,150.27848058511134
Plattsmouth,Wichita,242.07512756090048
Plattsmouth,Overland Park,153.99979515251025
Plattsmouth,Olathe,157.3760666756053
Plattsmouth,Topeka,135.92856415870907
Plattsmouth,Lawrence,144.81404680452818
Plattsmouth,Shawnee,150.46790351190447
Plattsmouth,Lenexa,154.4570919678016
Plattsmouth,Manhattan,131.29358220975814
Plattsmouth,Salina,175.7218885972662
Plattsmouth,Dodge City,315.4581882703002
Plattsmouth,Kansas City,148.8501862694961
Plattsmouth,St Louis,344.009024447147
Plattsmouth,Springfield,296.85331643326833
